,Season,Venue,City,innings,batter,Match_Played,Balls_Faced,Runs,4s,6s,Out,Not_Out,Strike_Rate,Avg,Explosivity_Rating,Running_Rating,Finisher_Rating
8901,2021,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2,SO Hetmyer,3,32,69,3,6,0.0,3.0,70.0,69.0,10.0,61.0,4.0
9975,2022,"Wankhede Stadium, Mumbai",Mumbai,2,AD Russell,1,33,70,2,8,0.0,1.0,71.0,70.0,11.0,61.0,2.0
7036,2017,Saurashtra Cricket Association Stadium,Rajkot,2,PA Patel,1,45,70,9,1,1.0,0.0,71.0,115.0,11.0,61.0,1.0
6328,2016,Saurashtra Cricket Association Stadium,Rajkot,1,F du Plessis,1,43,69,5,4,1.0,0.0,70.0,112.0,10.0,61.0,1.0
5753,2015,"Wankhede Stadium, Mumbai",Mumbai,2,Harbhajan Singh,3,34,72,6,6,3.0,0.0,73.0,83.33333333333333,13.0,61.0,1.0
1534,2010,"Eden Gardens, Kolkata",Kolkata,1,AD Mathews,3,45,67,5,2,1.0,2.0,68.0,112.0,8.0,61.0,3.0
4825,2014,"Punjab Cricket Association Stadium, Mohali",Chandigarh,1,SE Marsh,2,54,70,7,3,2.0,0.0,71.0,97.0,11.0,61.0,1.0
5360,2015,M Chinnaswamy Stadium,Bangalore,1,JP Duminy,1,44,67,4,3,0.0,1.0,68.0,67.0,8.0,61.0,2.0
347,2008,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,V Sehwag,1,42,71,7,4,1.0,0.0,72.0,113.0,12.0,61.0,1.0
4695,2014,JSCA International Stadium Complex,Ranchi,1,DR Smith,3,54,72,7,5,3.0,0.0,73.0,90.0,13.0,61.0,1.0
5778,2015,"Wankhede Stadium, Mumbai",Mumbai,2,SK Raina,2,53,68,4,4,1.0,1.0,69.0,121.0,9.0,61.0,2.0
